eco	name	fen	moves
A00	Amar Gambit	rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq -	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4
A00	Amar Opening	rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -	g1h3
A00	Amar Opening: Gent Gambit	rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3
A00	Amar Opening: Paris Gambit	rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -	g1h3 d7d5 g2g3 e7e5 f2f4
A00	Amsterdam Attack	r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6
A00	Anderssen Opening	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -	a2a3
A00	Anderssen Opening: Polish Gambit	rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -	a2a3 a7a5 b2b4
A00	Barnes Opening: Fool's Mate	rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -	f2f3 e7e5 g2g4 d8h4
A00	Barnes Opening: Gedult Gambit	rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -	f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3
A00	Barnes Opening: Gedult Gambit	rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -	f2f3 f7f5 e2e4 f5e4 b1c3
A00	Barnes Opening: Hammerschlag	rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq -	f2f3 e7e5 e1f2
A00	Caro-Kann Defense: Labahn Attack	rnbqkbnr/pp1ppppp/2p5/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -	b2b4 c7c6 e2e4
A00	Clemenz Opening	rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -	h2h3
A00	Clemenz Opening: Spike Lee Gambit	rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -	h2h3 h7h5 g2g4
A00	Crab Opening	rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq -	a2a4 e7e5 h2h4
A00	Creepy Crawly Formation: Classical Defense	rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -	h2h3 d7d5 a2a3 e7e5
A00	Englund Gambit Declined: Reversed French	rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -	e2e3 e7e5 d2d4
A00	Formation: Cabbage Attack	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/P7/1PP1P1P1/1B1P1P1P/RN1QKBNR b KQ -	c2c3 e7e5 a2a3 d7d5 b2b3 g8f6 c1b2 b8c6 a3a4 f8d6 g2g3 e8g8 e2e3
A00	Formation: Hippopotamus Attack	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -	a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3
A00	Formation: Shy Attack	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -	a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3
A00	Gedult's Opening	rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -	f2f3
A00	Global Opening	rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -	h2h3 e7e5 a2a3
A00	Grob Opening	rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -	g2g4
A00	Grob Opening: Alessi Gambit	rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -	g2g4 f7f5
A00	Grob Opening: Double Grob	rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -	g2g4 g7g5
A00	Grob Opening: Double Grob, Coca-Cola Gambit	rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -	g2g4 g7g5 f2f4
A00	Grob Opening: Grob Gambit	rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2
A00	Grob Opening: Grob Gambit Declined	rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -	g2g4 d7d5 f1g2 c7c6
A00	Grob Opening: Grob Gambit, Basman Gambit	rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2 h7h5 g4h5
A00	Grob Opening: Grob Gambit, Fritz Gambit	rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2 c8g4 c2c4
A00	Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4 g2b7 b8d7 b7a8 d8a8
A00	Grob Opening: Grob Gambit, Keres Gambit	rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2 e7e5 d2d4 e5d4 c2c3
A00	Grob Opening: Grob Gambit, Richter-Grob Gambit	rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2 c7c6 c2c4 d5c4 b2b3
A00	Grob Opening: Keene Defense	rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6
A00	Grob Opening: Keene Defense, Main Line	rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6 d2d4 e5e4 c2c4 f8d6 b1c3 g8e7
A00	Grob Opening: London Defense	r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -	g2g4 e7e5 h2h3 b8c6
A00	Grob Opening: Romford Countergambit	rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4
A00	Grob Opening: Spike Attack	rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -	g2g4 d7d5 f1g2 c7c6 g4g5
A00	Grob Opening: Spike, Hurst Attack	rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -	g2g4 e7e5 f1g2 d7d5 c2c4
A00	Grob Opening: Zilbermints Gambit	rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -	g2g4 d7d5 e2e4 d5e4 b1c3
A00	Grob Opening: Zilbermints Gambit, Schiller Defense	rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -	g2g4 d7d5 e2e4 d5e4 b1c3 h7h5
A00	Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit	rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -	g2g4 d7d5 e2e4 d5e4 b1c3 e7e5 d2d3
A00	Hungarian Opening	rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -	g2g3
