	eco	name	fen	moves	pgn
0	D00	Amazon Attack	rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -	d2d4 d7d5 d1d3	1. d2 d4 2. d7 d5 3. d1 d3 
1	D00	Blackmar Gambit	rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e4	1. d2 d4 2. d7 d5 3. e2 e4 
2	D00	Blackmar-Diemer Gambit	rnbqkbnr/ppp1pppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 
3	D00	Blackmar-Diemer Gambit	rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 
4	D00	Blackmar-Diemer Gambit: Bogoljubov Defense, Mad Dog Attack	rnbqk2r/ppp1ppbp/5np1/8/2BP3P/2N2N2/PPP3P1/R1BQK2R b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 h2h4	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. g7 g6 11. f1 c4 12. f8 g7 13. h2 h4 
5	D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Kloss Attack	rnbq1rk1/ppp1ppbp/5np1/8/2BP4/2N2N2/PPP3PP/R1BQ1R1K b - -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 g1h1	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. g7 g6 11. f1 c4 12. f8 g7 13. e1 g1 14. e8 g8 15. g1 h1 
6	D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Nimzowitsch Attack	rnbqk2r/ppp1ppbp/5np1/4N3/2BP4/2N5/PPP3PP/R1BQK2R b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 f3e5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. g7 g6 11. f1 c4 12. f8 g7 13. f3 e5 
7	D00	Blackmar-Diemer Gambit: Bogoljubov Variation	rnbqkb1r/ppp1pp1p/5np1/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. e4 f3 9. g1 f3 10. g7 g6 
8	D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Studier Attack	rnbq1rk1/ppp1ppbp/5np1/8/2BP4/2N2N2/PPP3PP/R1B1QRK1 b - -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 d1e1	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. e4 f3 9. g1 f3 10. g7 g6 11. f1 c4 12. f8 g7 13. e1 g1 14. e8 g8 15. d1 e1 
9	D00	Blackmar-Diemer Gambit Declined, Brombacher Countergambit	rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c7c5	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. c7 c5 
10	D00	Blackmar-Diemer Gambit Declined, Elbert Countergambit	rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e7e5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e7 e5 
11	D00	Blackmar-Diemer Gambit Declined, Grosshans Defense	rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8d7	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. c8 d7 
12	D00	Blackmar-Diemer Gambit Declined, Lamb Defense	r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 b8c6	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. b8 c6 
13	D00	Blackmar-Diemer Gambit Declined, Langeheinecke Defense	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4e3	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. e4 e3 
14	D00	Blackmar-Diemer Gambit: Diemer-Rosenberg Attack	rnbqkbnr/ppp1pppp/8/8/3Pp3/4B3/PPP2PPP/RN1QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 c1e3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. c1 e3 
15	D00	Blackmar-Diemer Gambit: Euwe Defense	rnbqkb1r/ppp2ppp/4pn2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 e7e6	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. e4 f3 9. g1 f3 10. e7 e6 
16	D00	Blackmar-Diemer Gambit: Euwe Defense, Zilbermints Gambit	r1bqk2r/ppp1bppp/4pn2/6B1/3n4/2NB1N2/PPP3PP/R2Q1R1K b kq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6 c1g5 f8e7 f1d3 b8c6 e1g1 c6d4 g1h1	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. e7 e6 11. c1 g5 12. f8 e7 13. f1 d3 14. b8 c6 15. e1 g1 16. c6 d4 17. g1 h1 
17	D00	Blackmar-Diemer Gambit: Fritz Attack	rnbqkbnr/ppp1pppp/8/8/2BPp3/8/PPP2PPP/RNBQK1NR b KQkq -	d2d4 d7d5 e2e4 d5e4 f1c4	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. f1 c4 
18	D00	Blackmar-Diemer Gambit: Gedult Gambit	rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 f2f3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. f2 f3 
19	D00	Blackmar-Diemer Gambit: Kaulich Defense	rnbqkb1r/pp2pppp/5n2/2p5/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. c7 c5 
20	D00	Blackmar-Diemer Gambit: Lemberger Countergambit, Diemer Attack	rnbqkbnr/ppp2ppp/8/4p3/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 c1e3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. e7 e5 7. c1 e3 
21	D00	Blackmar-Diemer Gambit: Lemberger Countergambit, Endgame Variation	rnbqkbnr/ppp2ppp/8/4P3/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 d4e5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. e7 e5 7. d4 e5 
22	D00	Blackmar-Diemer Gambit: Lemberger Countergambit, Rassmussen Attack	rnbqkbnr/ppp2ppp/8/4p3/3Pp3/2N5/PPP1NPPP/R1BQKB1R b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 g1e2	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. e7 e5 7. g1 e2 
23	D00	Blackmar-Diemer Gambit: Lemberger Countergambit, Simple Variation	rnbqkbnr/ppp2ppp/8/4p3/3PN3/8/PPP2PPP/R1BQKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 e7e5 c3e4	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. e7 e5 7. c3 e4 
24	D00	Blackmar-Diemer Gambit: Lemberger Countergambit, Sneider Attack	rnbqkbnr/ppp2ppp/8/4p2Q/3Pp3/2N5/PPP2PPP/R1B1KBNR b KQkq -	e2e4 d7d5 d2d4 d5e4 b1c3 e7e5 d1h5	1. e2 e4 2. d7 d5 3. d2 d4 4. d5 e4 5. b1 c3 6. e7 e5 7. d1 h5 
25	D00	Blackmar-Diemer Gambit: Pietrowsky Defense	r1bqkb1r/ppp1pppp/2n2n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8c6	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. b8 c6 
26	D00	Blackmar-Diemer Gambit: Rasa-Studier Gambit	rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1e3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. c1 e3 
27	D00	Blackmar-Diemer Gambit: Ritter Defense	rnbqkb1r/p1p1pppp/1p3n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b7b6	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. b7 b6 
