eco	name	pgn	uci	epd
B00	Barnes Defense	1. e4 f6	e2e4 f7f6	rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Borg Defense	1. e4 g5	e2e4 g7g5	rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Borg Defense: Borg Gambit	1. e4 g5 2. d4 Bg7	e2e4 g7g5 d2d4 f8g7	rnbqk1nr/ppppppbp/8/6p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Borg Defense: Langhorst Gambit	1. e4 g5 2. d4 e6 3. c3 c5 4. dxc5 b6	e2e4 g7g5 d2d4 e7e6 c2c3 c7c5 d4c5 b7b6	rnbqkbnr/p2p1p1p/1p2p3/2P3p1/4P3/2P5/PP3PPP/RNBQKBNR w KQkq -
B00	Borg Defense: Troon Gambit	1. e4 g5 2. d4 h6 3. h4 g4	e2e4 g7g5 d2d4 h7h6 h2h4 g5g4	rnbqkbnr/pppppp2/7p/8/3PP1pP/8/PPP2PP1/RNBQKBNR w KQkq -
B00	Borg Opening: Zilbermints Gambit	1. e4 g5 2. d4 e5	e2e4 g7g5 d2d4 e7e5	rnbqkbnr/pppp1p1p/8/4p1p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Carr Defense	1. e4 h6	e2e4 h7h6	rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Carr Defense: Zilbermints Gambit	1. e4 h6 2. d4 e5	e2e4 h7h6 d2d4 e7e5	rnbqkbnr/pppp1pp1/7p/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Duras Gambit	1. e4 f5	e2e4 f7f5	rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Fried Fox Defense	1. e4 f6 2. d4 Kf7	e2e4 f7f6 d2d4 e8f7	rnbq1bnr/pppppkpp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQ -
B00	Goldsmith Defense	1. e4 h5	e2e4 h7h5	rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Goldsmith Defense: Picklepuss Defense	1. e4 h5 2. d4 Nf6	e2e4 h7h5 d2d4 g8f6	rnbqkb1r/ppppppp1/5n2/7p/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Guatemala Defense	1. e4 b6 2. d4 Ba6	e2e4 b7b6 d2d4 c8a6	rn1qkbnr/p1pppppp/bp6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Hippopotamus Defense	1. e4 Nh6	e2e4 g8h6	rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Hippopotamus Defense	1. e4 Nh6 2. d4 g6 3. c4 f6	e2e4 g8h6 d2d4 g7g6 c2c4 f7f6	rnbqkb1r/ppppp2p/5ppn/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq -
