eco	name	pgn	uci	epd
C00	French Defense	1. e4 e6	e2e4 e7e6	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
C00	French Defense	1. e4 e6 2. d4 d5	e2e4 e7e6 d2d4 d7d5	rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
C00	French Defense: Alapin Gambit	1. e4 e6 2. d4 d5 3. Be3	e2e4 e7e6 d2d4 d7d5 c1e3	rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq -
C00	French Defense: Baeuerle Gambit	1. e4 e6 2. d4 b5	e2e4 e7e6 d2d4 b7b5	rnbqkbnr/p1pp1ppp/4p3/1p6/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
C00	French Defense: Banzai-Leong Gambit	1. e4 e6 2. b4	e2e4 e7e6 b2b4	rnbqkbnr/pppp1ppp/4p3/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -
C00	French Defense: Banzai-Leong Gambit, Pinova Gambit	1. e4 e6 2. b4 Bxb4 3. e5	e2e4 e7e6 b2b4 f8b4 e4e5	rnbqk1nr/pppp1ppp/4p3/4P3/1b6/8/P1PP1PPP/RNBQKBNR b KQkq -
C00	French Defense: Bird Invitation	1. e4 e6 2. Bb5	e2e4 e7e6 f1b5	rnbqkbnr/pppp1ppp/4p3/1B6/4P3/8/PPPP1PPP/RNBQK1NR b KQkq -
C00	French Defense: Carlson Gambit	1. e4 e6 2. d4 d5 3. Nf3 dxe4 4. Ne5	e2e4 e7e6 d2d4 d7d5 g1f3 d5e4 f3e5	rnbqkbnr/ppp2ppp/4p3/4N3/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq -
C00	French Defense: Chigorin Variation	1. e4 e6 2. Qe2	e2e4 e7e6 d1e2	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPPQPPP/RNB1KBNR b KQkq -
C00	French Defense: Franco-Hiva Gambit	1. e4 e6 2. d3 f5	e2e4 e7e6 d2d3 f7f5	rnbqkbnr/pppp2pp/4p3/5p2/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -
