eco	name	pgn	uci	epd
D00	Amazon Attack	1. d4 d5 2. Qd3	d2d4 d7d5 d1d3	rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -
D00	Blackmar-Diemer Gambit	1. d4 d5 2. e4	d2d4 d7d5 e2e4	rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -
D00	Blackmar-Diemer Gambit	1. d4 d5 2. e4 dxe4 3. Nc3	d2d4 d7d5 e2e4 d5e4 b1c3	rnbqkbnr/ppp1pppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR b KQkq -
D00	Blackmar-Diemer Gambit	1. d4 Nf6 2. Nc3 d5 3. e4	d2d4 g8f6 b1c3 d7d5 e2e4	rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -
D00	Blackmar-Diemer Gambit Declined: Brombacher Countergambit	1. d4 Nf6 2. Nc3 d5 3. e4 dxe4 4. f3 c5	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c7c5	rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Declined: Elbert Countergambit	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 e5	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e7e5	rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Declined: Grosshans Defense	1. d4 d5 2. e4 dxe4 3. Nc3 Bd7	d2d4 d7d5 e2e4 d5e4 b1c3 c8d7	rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Declined: Lamb Defense	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 Nc6	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 b8c6	r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Declined: Langeheinecke Defense	1. d4 Nf6 2. Nc3 d5 3. e4 dxe4 4. f3 e3	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4e3	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Declined: O'Kelly Defense	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 c6	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 c7c6	rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -
